"Specification","Wave l","Wave m","Wave n","Wave o","Pooled","Pooled + wave FE","Within FE","Within FE + wave FE"
"Bivariate","0.538*** (0.129)","0.470*** (0.114)","0.544*** (0.149)","0.639*** (0.158)","0.536*** (0.074)","0.540*** (0.074)","0.172* (0.095)","0.077 (0.090)"
"+ Basic controls","0.491*** (0.129)","0.400*** (0.113)","0.487*** (0.151)","0.569*** (0.158)","0.473*** (0.074)","0.477*** (0.074)","0.077 (0.090)","0.077 (0.090)"
"+ Rich controls","0.347* (0.196)","0.106 (0.122)","0.275* (0.154)","0.173 (0.171)","0.192** (0.081)","0.207** (0.080)","0.034 (0.104)","0.034 (0.104)"
"DML IRM ATE (+ rich controls)","1.042 (0.955)","0.457** (0.224)","0.308 (0.482)","-0.209 (0.659)","0.349** (0.165)","0.359** (0.152)","",""
