"Specification","Wave l","Wave m","Wave n","Wave o","Pooled","Pooled + wave FE","Within FE","Within FE + wave FE"
"Bivariate","0.588*** (0.121)","0.551*** (0.108)","0.314*** (0.115)","0.369*** (0.131)","0.463*** (0.064)","0.463*** (0.065)","0.139* (0.075)","0.089 (0.074)"
"+ Basic controls","0.542*** (0.118)","0.498*** (0.105)","0.272** (0.110)","0.314** (0.129)","0.414*** (0.062)","0.414*** (0.062)","0.092 (0.074)","0.089 (0.074)"
"+ Rich controls","0.453** (0.186)","0.235** (0.110)","0.048 (0.115)","0.038 (0.137)","0.174** (0.068)","0.176*** (0.068)","0.036 (0.089)","0.036 (0.089)"
"DML IRM ATE (+ rich controls)","2.149 (1.497)","0.359 (0.399)","0.056 (0.211)","-0.283 (0.446)","0.254 (0.165)","0.239 (0.146)","",""
