replication,learner,fe_estimate,dml_estimate,difference
1,Elastic net,0.0152229849072812,0.0286077414070447,-0.0133847564997635
1,Lasso,0.0152229849072812,0.0272185656301077,-0.0119955807228265
1,Neural net,0.0152229849072812,0.022850602545359,-0.00762761763807782
1,Random forest,0.0152229849072812,0.0691158935526319,-0.0538929086453507
2,Elastic net,0.0451910135774715,0.0289182650755061,0.0162727485019654
2,Lasso,0.0451910135774715,0.0259293213374829,0.0192616922399886
2,Neural net,0.0451910135774715,0.00254181425336234,0.0426491993241091
2,Random forest,0.0451910135774715,0.0249666428495025,0.0202243707279689
3,Elastic net,0.070996844345463,0.0808234063006426,-0.00982656195517959
3,Lasso,0.070996844345463,0.0822040909578536,-0.0112072466123906
3,Neural net,0.070996844345463,0.0579347388097383,0.0130621055357247
3,Random forest,0.070996844345463,0.0797839180218429,-0.00878707367637986
4,Elastic net,0.0090226784657987,0.0789582206290287,-0.06993554216323
4,Lasso,0.0090226784657987,0.0781512548057197,-0.069128576339921
4,Neural net,0.0090226784657987,0.0276507152987078,-0.0186280368329091
4,Random forest,0.0090226784657987,0.0793513477089509,-0.0703286692431522
5,Elastic net,0.0310649539824662,0.0315252701661943,-0.000460316183728125
5,Lasso,0.0310649539824662,0.0302503321024831,0.000814621879983109
5,Neural net,0.0310649539824662,0.0194186984715996,0.0116462555108666
5,Random forest,0.0310649539824662,0.0417111118302331,-0.010646157847767
6,Elastic net,0.0600546983477102,0.0696544561186286,-0.00959975777091843
6,Lasso,0.0600546983477102,0.0790742443292226,-0.0190195459815124
6,Neural net,0.0600546983477102,0.0324201363628768,0.0276345619848333
6,Random forest,0.0600546983477102,0.0617623446292779,-0.00170764628156773
7,Elastic net,0.0148057370327386,0.106527450092637,-0.0917217130598985
7,Lasso,0.0148057370327386,0.104076563354083,-0.0892708263213439
7,Neural net,0.0148057370327386,0.070366458019205,-0.0555607209864663
7,Random forest,0.0148057370327386,0.0872965200545599,-0.0724907830218213
8,Elastic net,0.0353604730899593,0.10805198688144,-0.0726915137914812
8,Lasso,0.0353604730899593,0.116048761634231,-0.080688288544272
8,Neural net,0.0353604730899593,0.0762550136794397,-0.0408945405894804
8,Random forest,0.0353604730899593,0.1011981849709,-0.0658377118809406
9,Elastic net,-0.0680174343945581,-0.0134376373783633,-0.0545797970161948
9,Lasso,-0.0680174343945581,-0.0133233780379077,-0.0546940563566504
9,Neural net,-0.0680174343945581,-0.0139508788144052,-0.0540665555801529
9,Random forest,-0.0680174343945581,-0.0193691781279473,-0.0486482562666108
10,Elastic net,0.0915615060633018,0.0668695095972415,0.0246919964660603
10,Lasso,0.0915615060633018,0.068368949222455,0.0231925568408468
10,Neural net,0.0915615060633018,0.0436728839401957,0.0478886221231061
10,Random forest,0.0915615060633018,0.0654366638364106,0.0261248422268912
11,Elastic net,0.0811013242765147,0.0916464882949759,-0.0105451640184612
11,Lasso,0.0811013242765147,0.0921987619145409,-0.0110974376380262
11,Neural net,0.0811013242765147,0.0633195765572703,0.0177817477192445
11,Random forest,0.0811013242765147,0.0657085262824429,0.0153927979940719
12,Elastic net,0.0482124674698548,0.047953159163805,0.000259308306049852
12,Lasso,0.0482124674698548,0.0449416497060559,0.00327081776379888
12,Neural net,0.0482124674698548,0.0527572791750937,-0.00454481170523886
12,Random forest,0.0482124674698548,0.0544009303255412,-0.00618846285568634
13,Elastic net,0.0691799318407675,0.100251236082398,-0.0310713042416304
13,Lasso,0.0691799318407675,0.0926831857537811,-0.0235032539130137
13,Neural net,0.0691799318407675,0.0937167226650604,-0.0245367908242929
13,Random forest,0.0691799318407675,0.0854444534259858,-0.0162645215852184
14,Elastic net,-0.0051474506252033,0.103677636892105,-0.108825087517308
14,Lasso,-0.0051474506252033,0.105650535492931,-0.110797986118134
14,Neural net,-0.0051474506252033,0.0896667110661766,-0.0948141616913799
14,Random forest,-0.0051474506252033,0.0634412354497575,-0.0685886860749608
15,Elastic net,-0.0854697651669079,0.0443848170491968,-0.129854582216105
15,Lasso,-0.0854697651669079,0.0479893907281386,-0.133459155895046
15,Neural net,-0.0854697651669079,0.0369488537460003,-0.122418618912908
15,Random forest,-0.0854697651669079,0.0844297734550098,-0.169899538621918
16,Elastic net,0.0176213769863234,0.0655503643717482,-0.0479289873854248
16,Lasso,0.0176213769863234,0.0595159220276435,-0.0418945450413201
16,Neural net,0.0176213769863234,0.0393819245167355,-0.0217605475304121
16,Random forest,0.0176213769863234,0.0698373307797289,-0.0522159537934055
17,Elastic net,-0.0146499403269571,0.0621117309085097,-0.0767616712354668
17,Lasso,-0.0146499403269571,0.0654659273098013,-0.0801158676367584
17,Neural net,-0.0146499403269571,-0.0286597913317127,0.0140098510047556
