learner,fe_estimate,dml_estimate,difference,bootstrap_se,t_statistic,p_value,fe_variance,dml_variance,covariance,successful_reps,requested_reps,n
Elastic net,0.0337359612802787,0.298815624466967,-0.265079663186688,0.195593586894559,-1.35525743658246,0.175335550805846,0.0116027727362285,0.0346198180994621,0.00398286980070574,500,500,4316
Lasso,0.0337359612802787,0.308462588427793,-0.274726627147514,0.201731758910204,-1.36184123229601,0.173247995935032,0.0116027727362285,0.036997827971627,0.00395244907742538,500,500,4316
Random forest,0.0337359612802787,0.416653904987397,-0.382917943707118,0.163676757449652,-2.33947659810469,0.019310781334812,0.0116027727362285,0.0196801475974977,0.00224641970224703,500,500,4316
