"Specification","Wave l","Wave m","Wave n","Wave o","Pooled","Pooled + wave FE","Within FE","Within FE + wave FE"
"Bivariate","0.208*** (0.049)","0.208*** (0.047)","0.225*** (0.051)","0.176*** (0.062)","0.205*** (0.028)","0.206*** (0.028)","0.049 (0.039)","0.010 (0.039)"
"+ Basic controls","0.199*** (0.049)","0.194*** (0.048)","0.227*** (0.052)","0.183*** (0.062)","0.200*** (0.028)","0.201*** (0.028)","0.014 (0.039)","0.010 (0.039)"
"+ Rich controls","0.131 (0.085)","0.146*** (0.054)","0.139** (0.060)","0.048 (0.069)","0.116*** (0.033)","0.119*** (0.033)","0.052 (0.045)","0.051 (0.045)"
"DML PLR (+ rich controls)","0.115 (0.083)","0.181*** (0.053)","0.130** (0.058)","0.070 (0.067)","0.120*** (0.033)","0.122*** (0.033)","",""
