learner,fe_estimate,dml_estimate,difference,bootstrap_se,t_statistic,p_value,fe_variance,dml_variance,covariance,successful_reps,requested_reps,n
Elastic net,0.0663754652099366,0.0567368150069929,0.00963865020294372,0.0671314855864404,0.143578681728006,0.885833175727709,0.00147606858847095,0.0042894932205649,0.000629462725996699,500,500,4298
Lasso,0.0663754652099366,0.0548195223051673,0.0115559429047693,0.0678169119969526,0.170399131492283,0.864696255122971,0.00147606858847095,0.00463760201421216,0.000757268524940346,500,500,4298
Random forest,0.0663754652099366,0.0409085431526375,0.0254669220572991,0.0612747572222567,0.415618489762842,0.677689194642073,0.00147606858847095,0.00264982522328009,0.000185648969552268,500,500,4298
