learner,fe_estimate,dml_estimate,difference,bootstrap_se,t_statistic,p_value,fe_variance,dml_variance,covariance,successful_reps,requested_reps,n
Elastic net,0.041848884803999,0.0239110815636785,0.0179378032403205,0.0187403130647741,0.957177352284361,0.338477746170846,0.000392658364559971,0.000162799749036173,0.0001021293899152,500,500,4298
Lasso,0.041848884803999,0.0224658216205682,0.0193830631834308,0.0188240924513592,1.02969443193694,0.303153470210363,0.000392658364559971,0.000161900701634425,0.000100106304788538,500,500,4298
Random forest,0.041848884803999,0.0236042130022142,0.0182446718017848,0.0207252534366287,0.880311155546122,0.378690770977411,0.000392658364559971,0.000146484409787616,5.48033221675495e-05,500,500,4298
Neural net,0.041848884803999,0.0170783426121477,0.0247705421918513,0.0206394043339338,1.20015780451209,0.23007805937479,0.000392658364559971,0.000138537708933946,5.26055311171551e-05,500,500,4298
