learner,fe_estimate,dml_estimate,difference,bootstrap_se,t_statistic,p_value,fe_variance,dml_variance,covariance,successful_reps,requested_reps,n
Elastic net,0.101303686270121,0.500819673640869,-0.399515987370748,0.147033771006859,-2.71717160374068,0.00658424596933175,0.0107537579855782,0.0198727064250732,0.00450376729707695,500,500,4329
Lasso,0.101303686270121,0.551128086129948,-0.449824399859827,0.151811539615745,-2.96304484493334,0.00304612186881843,0.0107537579855782,0.0212906105465629,0.00449881248581912,500,500,4329
Random forest,0.101303686270121,0.505919748486192,-0.404616062216071,0.153513251470061,-2.63570772126458,0.00839620181387242,0.0107537579855782,0.0171757448275142,0.00218159221809111,500,500,4329
