learner,fe_estimate,dml_estimate,difference,bootstrap_se,t_statistic,p_value,fe_variance,dml_variance,covariance,successful_reps,requested_reps,n
Elastic net,0.0360747371147591,0.168284775029844,-0.132210037915085,0.147222963946872,-0.898025921844604,0.36917172995891,0.00815213988135832,0.0184489168322452,0.00246322780015074,500,500,4316
Lasso,0.0360747371147591,0.224259060565688,-0.188184323450929,0.153123865564226,-1.22896795190947,0.219083822095567,0.00815213988135832,0.0201820048261004,0.00244361325106373,500,500,4316
Random forest,0.0360747371147591,-0.0173868237423034,0.0534615608570625,0.167719672577058,0.318755456862103,0.749911957879657,0.00815213988135832,0.0219942854540257,0.0010082683830142,500,500,4316
