"Specification","Wave l","Wave m","Wave n","Wave o","Pooled","Pooled + wave FE","Within FE","Within FE + wave FE"
"Bivariate","0.185*** (0.054)","0.170*** (0.052)","0.264*** (0.059)","0.235*** (0.066)","0.210*** (0.032)","0.212*** (0.031)","0.092** (0.044)","0.011 (0.042)"
"+ Basic controls","0.145*** (0.055)","0.122** (0.052)","0.223*** (0.060)","0.211*** (0.066)","0.169*** (0.032)","0.171*** (0.032)","0.012 (0.042)","0.011 (0.042)"
"+ Rich controls","0.047 (0.085)","0.016 (0.057)","0.172*** (0.063)","0.047 (0.074)","0.071** (0.035)","0.077** (0.035)","0.014 (0.050)","0.013 (0.050)"
"DML PLR (+ rich controls)","0.065 (0.086)","0.070 (0.055)","0.174*** (0.063)","0.042 (0.071)","0.091*** (0.035)","0.090*** (0.035)","",""
