learner,fe_estimate,dml_estimate,difference,bootstrap_se,t_statistic,p_value,fe_variance,dml_variance,covariance,successful_reps,requested_reps,n
Elastic net,0.030250207810735,0.0565879407097261,-0.0263377328989911,0.0401766305772987,-0.655548574396204,0.51211462296818,0.00188819266258587,0.0008342404902022,0.000554135754121667,500,500,4316
Lasso,0.030250207810735,0.0616942321249871,-0.0314440243142521,0.0402725195853314,-0.780781153948586,0.434931220194133,0.00188819266258587,0.000843367516313291,0.000554842172574128,500,500,4316
Random forest,0.030250207810735,0.055554430027734,-0.025304222216999,0.0443688139779748,-0.570315497492457,0.56846373159506,0.00188819266258587,0.000619515395290368,0.000269558202032052,500,500,4316
Neural net,0.030250207810735,0.0289417294999352,0.0013084783107998,0.0437215699868491,0.0299275234442261,0.976124855142723,0.00188819266258587,0.000847413764569672,0.000412015372520297,500,500,4316
