learner,fe_estimate,dml_estimate,difference,bootstrap_se,t_statistic,p_value,fe_variance,dml_variance,covariance,successful_reps,requested_reps,n
Elastic net,0.0507206801688182,0.118470090978175,-0.0677494108093568,0.0454686953294218,-1.49002319768603,0.136218136512146,0.00209170374951789,0.00107065198128653,0.000547476737922321,500,500,4329
Lasso,0.0507206801688182,0.116645010771786,-0.0659243306029678,0.0457465832542431,-1.44107659880485,0.149563043850732,0.00209170374951789,0.00106970477570028,0.000534329322890387,500,500,4329
Random forest,0.0507206801688182,0.118217287251957,-0.0674966070831388,0.0507194670364061,-1.33078305090805,0.183260406460462,0.00209170374951789,0.000943856454511007,0.000231547933785904,500,500,4329
Neural net,0.0507206801688182,0.105277567606274,-0.0545568874374558,0.0504601142329827,-1.08118834582018,0.279613341025106,0.00209170374951789,0.00113934775534974,0.000342414188230983,500,500,4329
