"Specification","Wave l","Wave m","Wave n","Wave o","Pooled","Pooled + wave FE","Within FE","Within FE + wave FE"
"Bivariate","0.113*** (0.028)","0.047** (0.021)","0.052** (0.021)","0.039* (0.022)","0.056*** (0.012)","0.056*** (0.012)","0.047** (0.019)","0.036* (0.019)"
"+ Basic controls","0.109*** (0.028)","0.036* (0.021)","0.050** (0.021)","0.040* (0.022)","0.052*** (0.012)","0.052*** (0.012)","0.036* (0.019)","0.036* (0.019)"
"+ Rich controls","0.091*** (0.031)","0.006 (0.023)","0.022 (0.021)","-0.011 (0.026)","0.022* (0.013)","0.023* (0.013)","0.042** (0.020)","0.042** (0.020)"
"DML PLR (+ rich controls)","0.084*** (0.031)","0.003 (0.023)","0.027 (0.022)","0.007 (0.024)","0.024* (0.012)","0.024* (0.012)","",""
