"Specification","Wave l","Wave m","Wave n","Wave o","Pooled","Pooled + wave FE","Within FE","Within FE + wave FE"
"Bivariate","0.539*** (0.111)","0.563*** (0.107)","0.543*** (0.117)","0.561*** (0.148)","0.549*** (0.063)","0.552*** (0.063)","0.132 (0.085)","0.088 (0.085)"
"+ Basic controls","0.526*** (0.111)","0.543*** (0.108)","0.541*** (0.119)","0.571*** (0.149)","0.540*** (0.063)","0.543*** (0.063)","0.090 (0.085)","0.088 (0.085)"
"+ Rich controls","0.369* (0.199)","0.394*** (0.118)","0.315** (0.130)","0.232 (0.157)","0.328*** (0.073)","0.336*** (0.073)","0.101 (0.102)","0.101 (0.102)"
"DML IRM ATE (+ rich controls)","0.116 (0.405)","0.902 (0.610)","0.577** (0.232)","-0.585 (0.783)","0.519*** (0.133)","0.498*** (0.143)","",""
