learner,estimate,std_error,sigma2,nu2,robustness_value,lower_bound_005,upper_bound_005,n
Elastic net,0.0599113121467366,0.029083711965218,1.50538567982835,1.81698071385469,0.0355749278928297,-0.0249299753934506,0.144752599686924,4316
Lasso,0.0564086339842091,0.0290554956669764,1.50562533960172,1.81243067329671,0.0335692617725264,-0.0283331028895808,0.141150370857999,4316
Random forest,0.0540354679334388,0.0287924392474215,1.50689082755475,1.74849675407947,0.0327398922068485,-0.0292331797446388,0.137304115611517,4316
Neural net,0.0456480509943014,0.028223472214354,1.64464198577143,1.51121791956928,0.0285388017785826,-0.0352256718895186,0.126521773878121,4316
