learner,fe_estimate,fe_std_error,dml_estimate,dml_std_error,difference,bootstrap_se,t_statistic,p_value,successful_reps,requested_reps,n
Elastic net,-0.0107380512616499,0.0336872109443431,0.0249557232878472,0.0242169338296421,-0.0356937745494971,0.0343963283839576,-1.03772048432194,0.299400205406482,500,500,4331
Lasso,-0.0107380512616499,0.0336872109443431,0.0246890785891014,0.0243126215562077,-0.0354271298507513,0.0345371765729184,-1.0257679800766,0.305000962408941,500,500,4331
Random forest,-0.0107380512616499,0.0336872109443431,0.0233449566481301,0.02383931478149,-0.0340830079097799,0.0357719559739664,-0.952785694318318,0.34069866399844,500,500,4331
Neural net,-0.0107380512616499,0.0336872109443431,0.0322406339089655,0.0226780587199121,-0.0429786851706154,0.0354093084976624,-1.21376798909961,0.224836333367871,500,500,4331
