learner,fe_estimate,fe_std_error,dml_estimate,dml_std_error,difference,bootstrap_se,t_statistic,p_value,successful_reps,requested_reps,n,panel,fe_p_value,dml_p_value,design,n_clusters,bootstrap_type
Elastic net,-0.0107380512616499,0.0336872109443431,0.0249557232878472,0.0242169338296421,-0.0356937745494971,0.0343963283839576,-1.03772048432194,0.299400205406482,500,500,4331,PLR,0.749910405760921,0.302772000969241,weekend,2776,
Lasso,-0.0107380512616499,0.0336872109443431,0.0246890785891014,0.0243126215562077,-0.0354271298507513,0.0345371765729184,-1.0257679800766,0.305000962408941,500,500,4331,PLR,0.749910405760921,0.309875161813342,weekend,2776,
Random forest,-0.0107380512616499,0.0336872109443431,0.0233449566481301,0.02383931478149,-0.0340830079097799,0.0357719559739664,-0.952785694318318,0.34069866399844,500,500,4331,PLR,0.749910405760921,0.327450094107501,weekend,2776,
Neural net,-0.0107380512616499,0.0336872109443431,0.0322406339089655,0.0226780587199121,-0.0429786851706154,0.0354093084976624,-1.21376798909961,0.224836333367871,500,500,4331,PLR,0.749910405760921,0.155123121116031,weekend,2776,
Elastic net,0.0601066988325896,0.0569225058235626,0.0779158636824307,0.0458600408208191,-0.0178091648498411,0.062940810811467,-0.282950991895969,0.777214405158168,500,500,4331,IRM,0.291162748670583,0.0893206038335978,weekend,2776,paired cluster influence-function bootstrap
Lasso,0.0601066988325896,0.0569225058235626,0.0727864672914959,0.0454915656068456,-0.0126797684589062,0.063024742242026,-0.201187152978964,0.840552236554818,500,500,4331,IRM,0.291162748670583,0.109598767144808,weekend,2776,paired cluster influence-function bootstrap
Random forest,0.0601066988325896,0.0569225058235626,0.0815065747122052,0.0469934289313411,-0.0213998758796156,0.0642549344294271,-0.333046420008717,0.739099243269212,500,500,4331,IRM,0.291162748670583,0.0828427147710972,weekend,2776,paired cluster influence-function bootstrap
