replication,panel,learner,fe_estimate,dml_estimate,difference
1,IRM,Elastic net,0.0271299789879205,0.0792982492185678,-0.0521682702306473
1,IRM,Lasso,0.0271299789879205,0.0894913886663765,-0.062361409678456
1,IRM,Random forest,0.0271299789879205,0.0844003924387569,-0.0572704134508364
2,IRM,Elastic net,0.0419657363650926,0.074752283261118,-0.0327865468960255
2,IRM,Lasso,0.0419657363650926,0.0723123037454589,-0.0303465673803663
2,IRM,Random forest,0.0419657363650926,0.120627312074221,-0.0786615757091281
