learner,fe_estimate,fe_std_error,fe_p_value,dml_estimate,dml_std_error,dml_p_value,difference,bootstrap_se,t_statistic,p_value,successful_reps,requested_reps,panel,design,n,n_clusters,bootstrap_type
Elastic net,-0.0107380512616499,0.0336872109443431,0.749953914201106,0.0252603743329303,0.0243255457508137,0.299069949732951,-0.0359984255945802,0.0334824431997692,-1.0751433334718,0.282310561078119,500,500,PLR,weekend,4331,2776,paired cluster influence-function bootstrap
Lasso,-0.0107380512616499,0.0336872109443431,0.749953914201106,0.0244552964365461,0.0241955281293128,0.312142700635052,-0.035193347698196,0.0333931869899737,-1.05390802347685,0.291925029123048,500,500,PLR,weekend,4331,2776,paired cluster influence-function bootstrap
Random forest,-0.0107380512616499,0.0336872109443431,0.749953914201106,0.0147728639718413,0.0238047565606459,0.534873012316701,-0.0255109152334911,0.0335988655252948,-0.75927906596386,0.447685637495647,500,500,PLR,weekend,4331,2776,paired cluster influence-function bootstrap
Neural net,-0.0107380512616499,0.0336872109443431,0.749953914201106,0.00821906493300808,0.0239592643531781,0.731565891203784,-0.0189571161946579,0.0356989509923297,-0.531027261801925,0.595399887751887,500,500,PLR,weekend,4331,2776,paired cluster influence-function bootstrap
Elastic net,0.0601066988325896,0.0569225058235626,0.291162748670583,0.0779158636824307,0.0458600408208191,0.0893206038335978,-0.0178091648498411,0.062940810811467,-0.282950991895969,0.777214405158168,500,500,IRM,weekend,4331,2776,paired cluster influence-function bootstrap
Lasso,0.0601066988325896,0.0569225058235626,0.291162748670583,0.0727864672914959,0.0454915656068456,0.109598767144808,-0.0126797684589062,0.063024742242026,-0.201187152978964,0.840552236554818,500,500,IRM,weekend,4331,2776,paired cluster influence-function bootstrap
Random forest,0.0601066988325896,0.0569225058235626,0.291162748670583,0.0815065747122052,0.0469934289313411,0.0828427147710972,-0.0213998758796156,0.0642549344294271,-0.333046420008717,0.739099243269212,500,500,IRM,weekend,4331,2776,paired cluster influence-function bootstrap
