learner,repeated_estimate,repeated_se,p_value,split_sd,split_p05,split_p95,split_min,split_max,n_rep,n,single_estimate,single_se
Elastic net,0.0585602902792319,0.0290734460962892,0.0439865357807392,0.00238978947811124,0.0539812505079233,0.0616004404728461,0.0528261039032195,0.0654398115364526,100,4316,0.0565879407097261,0.0290236839305442
Lasso,0.0577538734460187,0.0290557163284332,0.0468455412609698,0.00260588921611284,0.0529002021715614,0.0619099312723375,0.0508013429455667,0.0629446626330589,100,4316,0.0616942321249871,0.0290227145168653
Random forest,0.0526746925421471,0.0286258147472532,0.0657518609260198,0.0047136070384464,0.0446116061128286,0.0593729873966083,0.0417487860270116,0.0620383876739809,100,4316,0.055554430027734,0.0286793337086738
Neural net,0.042039407048906,0.0284884305528183,0.140033590005669,0.0143344739122837,0.016947579872748,0.0657557264139085,0.00626045923462904,0.0736870974910224,100,4316,0.0289417294999352,0.0291125966813384
