learner,fe_estimate,fe_std_error,fe_p_value,dml_estimate,dml_std_error,dml_p_value,difference,bootstrap_se,t_statistic,p_value,successful_reps,requested_reps,panel,design,n,n_clusters,bootstrap_type
Elastic net,0.0788012711319771,0.0107547946661762,2.4450830794297e-13,0.116042760488099,0.00939198547216382,4.54868260895281e-35,-0.0372414893561218,0.00998870972911841,-3.7283583531873,0.000192731187654105,500,500,PLR,extended_waves,33184,13900,paired cluster influence-function bootstrap
Lasso,0.0788012711319771,0.0107547946661762,2.4450830794297e-13,0.115283767723412,0.00937806379527157,9.88716760968535e-35,-0.0364824965914351,0.00999330941995369,-3.65069218397163,0.000261534529491844,500,500,PLR,extended_waves,33184,13900,paired cluster influence-function bootstrap
Random forest,0.0788012711319771,0.0107547946661762,2.4450830794297e-13,0.111903720365386,0.00930224867126883,2.47912101428e-33,-0.0331024492334091,0.0100782138998101,-3.28455513670263,0.00102143510134633,500,500,PLR,extended_waves,33184,13900,paired cluster influence-function bootstrap
Neural net,0.0788012711319771,0.0107547946661762,2.4450830794297e-13,0.106586278940353,0.00936109522447095,4.90506590446394e-30,-0.0277850078083763,0.0100912779673781,-2.75336859198572,0.00589854447552914,500,500,PLR,extended_waves,33184,13900,paired cluster influence-function bootstrap
Elastic net,0.166845285775909,0.024568273706867,1.14539421329888e-11,0.284616571685794,0.031752261973301,3.14068161354717e-19,-0.117771285909884,0.0314809023040915,-3.74103908370434,0.000183261016537594,500,500,IRM,extended_waves,33184,13900,paired cluster influence-function bootstrap
Lasso,0.166845285775909,0.024568273706867,1.14539421329888e-11,0.289214844103345,0.0317375835847499,8.03622316879461e-20,-0.122369558327436,0.0313451423090166,-3.90394011043414,9.46392093581434e-05,500,500,IRM,extended_waves,33184,13900,paired cluster influence-function bootstrap
Random forest,0.166845285775909,0.024568273706867,1.14539421329888e-11,0.240084380961974,0.0397946866668875,1.60867412323675e-09,-0.0732390951860644,0.0399104838438894,-1.83508412156917,0.0664932262360612,500,500,IRM,extended_waves,33184,13900,paired cluster influence-function bootstrap
