learner,minimum,p01,p05,median,p95,p99,maximum,share_below_001,share_below_005,share_above_095
Elastic net,0.000909292093208854,0.00609471750227062,0.0150753413588623,0.0685183357057886,0.481287070318242,0.650985535299718,0.814862747215652,0.0273401297497683,0.327849860982391,0
Lasso,0.0013850402028916,0.00644428708425244,0.0144381013507309,0.0647115028506652,0.496502614385743,0.633490475328021,0.773582881326911,0.0261816496756256,0.276876737720111,0
Random forest,0.00153703703703704,0.00611158889233351,0.0140565432124686,0.0930802896160007,0.395775625892959,0.510143531296351,0.653806099693171,0.0289620018535681,0.320203892493049,0
