"rep","naive","dml"
1,-0.0151966134182458,-0.0640613759458331
2,-0.000452258140666582,-0.0551338217046313
3,-0.036497085497394,-0.0438690486141865
4,-0.0161599646316929,-0.0518009219127774
5,-0.00365924261620737,-0.0640489655026146
6,-0.00382667595386121,-0.0863054006726013
7,-0.0028638459218827,-0.0605702064163033
8,0.000270937450208392,-0.0789320139835461
9,0.00416914226485208,-0.0451087827128517
10,-0.00869120760704624,-0.0372235378045644
11,-0.00421257893222043,-0.0570864834832195
12,0.0294541087393758,-0.0560859708678953
13,0.0224367273416352,-0.0516036347865603
14,0.0233477793269189,-0.05479565916727
15,0.00778287331566801,-0.0403702808905517
16,0.0107408866632444,-0.0578713715196847
17,-0.0106547594000417,-0.0521926252197999
18,0.0247094383433607,-0.0447034625118409
19,-0.003389320373882,-0.0473548958088482
20,-0.00651560410221017,-0.0560429233449834
21,0.0206222418013687,-0.0436336945478271
22,0.00125628685952748,-0.0673806472596358
23,0.0251075210091549,-0.0496591180180321
24,0.00592276577206266,-0.056600675707498
25,-0.000528256991516447,-0.065460795251224
26,-0.0151819532997165,-0.0529382154609738
27,0.0252439763908602,-0.0445272143861428
28,0.0158045216976046,-0.048923355891161
29,-0.0146042782702923,-0.0517429336325255
30,0.00245830999595333,-0.050942039866784
31,-0.00454651883471936,-0.025850507047862
32,0.0363593888193646,-0.0490473052613236
33,-0.0231880071883232,-0.0685488531645631
34,-0.0112292031823501,-0.0470267666708708
35,-0.00266247184646379,-0.0560080527069276
36,0.000471125256218237,-0.0445495644280714
37,0.013725261476357,-0.0505237684824641
38,-0.0347099913007193,-0.059829011831935
39,-0.0361729978808866,-0.0507023266923366
40,-0.0184861585770232,-0.0651578545859572
